0001, 0, 8, 0, 0, 0, 2484
0002, 0, 9, 0, 0, 0, 1929
0003, 1, 4, 0, 0, 0, 4985
0004, 1, 8, 2, 1, 2, 1268
0005, 1, 4, 4, 8, 3, 1387
0006, 0, 4, 0, 0, 0, 6926
0007, 1, 8, 9, 1, 1, 2320
0008, 0, 3, 0, 0, 0, 8418
0009, 1, 2, 6, 2, 1, 3374
0010, 1, 8, 4, 8, 2, 3230
0011, 0, 4, 0, 0, 0, 4245
0012, 0, 5, 0, 0, 0, 6405
0013, 1, 7, 2, 7, 1, 2837
0014, 0, 2, 0, 0, 0, 1479
0015, 1, 3, 0, 0, 0, 678
0016, 0, 5, 0, 0, 0, 3800
0017, 1, 6, 8, 6, 3, 696
0018, 1, 6, 2, 5, 1, 959
0019, 0, 9, 0, 0, 0, 5352
0020, 1, 9, 8, 4, 1, 6855
0021, 0, 8, 0, 0, 0, 3772
0022, 0, 2, 0, 0, 0, 1370
0023, 1, 3, 0, 0, 0, 2730
0024, 0, 5, 0, 0, 0, 1951
0025, 1, 3, 5, 6, 1, 2439
0026, 0, 6, 0, 0, 0, 529
0027, 0, 3, 0, 0, 0, 7331
0028, 0, 8, 0, 0, 0, 8219
0029, 0, 9, 0, 0, 0, 6893
0030, 1, 9, 7, 6, 1, 1931
